Aerolinea,Codigo,Origen,CiudadOrigen,EstadoOrigen,Destino,CiudadDestino,EstadoDestino,Fecha,DiaSemana,RetrasoSalida,RetrasoLlegada,Distancia,Cancelado,Desviado,RetrasoAerolinea,RetrasoClima,RetrasoNAS,TiempoVuelo
AA,AA,JFK,"New York, NY",NY,SFO,"San Francisco, CA",CA,2016-01-04,1,94.0,,2586.0,1,0,,,,
AA,AA,JFK,"New York, NY",NY,SFO,"San Francisco, CA",CA,2016-01-13,3,237.0,,2586.0,1,0,,,,
AA,AA,CLT,"Charlotte, NC",NC,DFW,"Dallas/Fort Worth, TX",TX,2016-01-12,2,56.0,,936.0,1,0,,,,
AA,AA,SLC,"Salt Lake City, UT",UT,DFW,"Dallas/Fort Worth, TX",TX,2016-01-27,3,-6.0,,989.0,1,0,,,,
AA,AA,TUS,"Tucson, AZ",AZ,DFW,"Dallas/Fort Worth, TX",TX,2016-01-15,5,-4.0,,813.0,1,0,,,,
AA,AA,DFW,"Dallas/Fort Worth, TX",TX,EGE,"Eagle, CO",CO,2016-01-01,5,2.0,,721.0,1,0,,,,
AA,AA,MCO,"Orlando, FL",FL,ORD,"Chicago, IL",IL,2016-01-24,7,73.0,,1005.0,1,0,,,,
AA,AA,TUS,"Tucson, AZ",AZ,DFW,"Dallas/Fort Worth, TX",TX,2016-01-12,2,-8.0,,813.0,1,0,,,,
AA,AA,PBI,"West Palm Beach/Palm Beach, FL",FL,DCA,"Washington, DC",VA,2016-01-01,5,-1.0,,857.0,1,0,,,,
AA,AA,IAD,"Washington, DC",VA,LAX,"Los Angeles, CA",CA,2016-01-01,5,-2.0,,2288.0,1,0,,,,
AA,AA,CMH,"Columbus, OH",OH,DFW,"Dallas/Fort Worth, TX",TX,2016-01-10,7,-5.0,,926.0,1,0,,,,
AA,AA,STT,"Charlotte Amalie, VI",VI,CLT,"Charlotte, NC",NC,2016-01-02,6,10.0,,1520.0,1,0,,,,
AA,AA,ORD,"Chicago, IL",IL,DFW,"Dallas/Fort Worth, TX",TX,2016-01-17,7,875.0,,802.0,1,0,,,,
AA,AA,DSM,"Des Moines, IA",IA,DFW,"Dallas/Fort Worth, TX",TX,2016-01-10,7,79.0,,624.0,1,0,,,,
AA,AA,HNL,"Honolulu, HI",HI,PHX,"Phoenix, AZ",AZ,2016-01-04,1,0.0,,2917.0,1,0,,,,
AA,AA,DCA,"Washington, DC",VA,LGA,"New York, NY",NY,2016-01-07,4,-6.0,,214.0,1,0,,,,
AA,AA,SYR,"Syracuse, NY",NY,CLT,"Charlotte, NC",NC,2016-01-05,2,0.0,,603.0,1,0,,,,
AA,AA,DCA,"Washington, DC",VA,LGA,"New York, NY",NY,2016-01-05,2,33.0,,214.0,1,0,,,,
